
Booted Sat May  8 23:59:29 2021
Area popularity statistics (in char * ticks)
Limbo                                                        0
Mekanik Düşler                                               0
Zooloji                                                      0
Havada                                                       0
Hayvanat Bahçesi                                             0
Kuzeyin Düzlükleri                                           0
Goblin Kalesi                                                0
Firetop Mountain                                             0
Büyük Gerighelm                                              0
Yeni Ofcol                                                   0
Valhalla                                                     0
Selenge                                                      0
Haon Dor                                                     0
Arachnos                                                     0
Hizmetkar Kanyonu                                            0
Dylan's Area                                                 0
Cüce Mezarlığı                                               0
Chapel Catacombs                                             0
Buçukluk Ülkesi                                              0
Karanlık Kıta                                                0
Ejderha Kulesi                                               0
Satranç Tahtası                                              0
Semavi Düzlem                                                0
Cüce Krallığı                                                0
Drow City                                                    0
Thalos                                                       0
Istırap Çölü                                                 0
Arako Şehri                                                  0
Galaxy                                                       0
The Keep of The Warlock                                      0
Yggdrasil                                                    0
Old Troya                                                    0
Mirror of Realm                                              0
Caverns                                                      0
Titan Vadisi                                                 0
Velmar'ın Kalesi                                             0
Blight                                                       0
Ejderha Helezonu                                             0
Canavar Bitkiler                                             0
Ciquala'nın İni                                              0
The Village of Anon                                          0
Anon Şehri                                                   0
Hüküm Dağı                                                   0
Hayalet Şehir                                                0
Anon Duvarları                                               0
Lanetli Manastır                                             0
Liç Kulesi                                                   0
Arkadya                                                      0
Bölünmüş Ruhlar                                              0
Drakiri Adası                                                0
Kıyamet                                                      0
Mud Okulu                                                    0
Bakımevi                                                     0
Acemi Bölgesi                                                0
Zümrüt Köyü                                                  0
Mezarlık                                                     0
Gnom Köyü                                                    0
Selenge Ormanı                                               0
Moria                                                        0
Korıg                                                        0
Mirkwood                                                     0
Tehlikeli Semt                                               0
Kutsal Koru                                                  0
Çora Vadisi                                                  0
Mega Şehir                                                   0
Eski Selenge                                                 0
Sewers                                                       0
Goblin Kavmi                                                 0
Peri Çemberi                                                 0
Asura İni                                                    0
Bataklık                                                     0
New Thalos                                                   0
Ofcol                                                        0
Kufal Köşkü                                                  0
Redferne Köşkü                                               0
Aslan Kalesi                                                 0
Tüze Konağı                                                  0
Şövalye Kalesi                                               0
Öfke                                                         0
Tılsım                                                       0
İstila                                                       0
Kaos Çemberi                                                 0
Avcı Konağı                                                  0
Wyvern Kulesi                                                0
Yüksek Büyücülük Kulesi                                      0
Mahn-Tor'un Kalesi                                           0
Solas Kenti                                                  0
Cadılar Meclisi                                              0
Nirvana                                                      0
Antharia                                                     0
Piramit                                                      0
Serbest Liman                                                0
Yeraltı                                                      0
Camelot                                                      0
The Abyss                                                    0
Descent to Hell                                              0
Jher'in Lahiti                                               0
Sumut İstihkamı                                              0
Selenge Cezaevi                                              0
Korsan Adaları                                               0
Garp Diyar                                                   0
Thera Hapishanesi                                            0
Ruhlar Nehri                                                 0
Beyaz Lotus Tapınağı                                         0
